code,name,lat,long,tambon,amphoe,province,basin,region,station_type
KSKP  ,อบต.กำแพงแสน,14.003264,99.980928,กำแพงแสน,กำแพงแสน,นครปฐม,แม่น้ำท่าจีน,ภาคกลาง,R
TTWY  ,ทม.วังน้ำเย็น,13.5010944,102.1802304,วังน้ำเย็น,วังน้ำเย็น,สระแก้ว,แม่น้ำปราจีนบุรี,ภาคกลาง,R
KOSB  ,รพสต.ท่าข้าม,13.6276544,102.5748416,ท่าข้าม,อรัญประเทศ,สระแก้ว,โตนเลสาป,ภาคกลาง,R
BDCP  ,อบต.ด่านชุมพล,12.4447144,102.6300672,ด่านชุมพล,บ่อไร่,ตราด,ชายฝั่งทะเลตะวันออก,ภาคกลาง,R
MEWG  ,อบต.บ้านกาด,18.6038928,98.7984704,บ้านกาด,แม่วาง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
BDLH  ,ทต.ลานหอย,17.008568,99.582944,ลานหอย,บ้านด่านลานหอย,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R
DIWO  ,ทต.เวียงพางคำ,20.4035376,99.8857536,เวียงพางคำ,แม่สาย,เชียงราย,แม่น้ำโขง,ภาคเหนือ,R
PPPG  ,อบต.ปลายโพงพาง,13.384916,99.9269952,ปลายโพงพาง,อัมพวา,สมุทรสงคราม,แม่น้ำเพชรบุรี,ภาคกลาง,R
CHAM  ,การประปา ทม.ชะอำ,12.7863232,99.960192,ชะอำ,ชะอำ,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,R
HSYO  ,ทต.ดงมะดะ,19.7471376,99.6835456,ดงมะดะ,แม่ลาว,เชียงราย,แม่น้ำกก,ภาคเหนือ,R
RCHM  ,อบต.ดอนยาง,13.0145888,99.9703936,ดอนยาง,เมืองเพชรบุรี,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,R
PDAM  ,ทต.ท่ายาง,12.96336,99.8983872,ท่ายาง,ท่ายาง,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,R
HJRN1 ,อบต.หงษ์เจริญ,10.7797248,99.1910784,หงษ์เจริญ,ท่าแซะ,ชุมพร,ภาคใต้ฝั่งตะวันออก,ภาคใต้,R
BLAT  ,ทต.บ้านลาด,13.0495984,99.91616,บ้านลาด,บ้านลาด,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,R
TGLM  ,อบต.ป่าหวาย,13.5798432,99.4331264,ป่าหวาย,สวนผึ้ง,ราชบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R
