,cappi1km,cappi2km,cappi3km,cappi4km,full_date,code,rain_x
0,,,,,2018-06-01-00:00,BDLH,0.0
1,,,,,2018-06-01-00:00,BRKM,0.0
2,,,,,2018-06-01-00:00,BWKG,0.0
3,24.691301345825195,24.196701049804688,20.08311176300049,20.643747329711914,2018-06-01-00:00,CMSG,0.0
4,,,,,2018-06-01-00:00,CNDN,0.0
5,,,,,2018-06-01-00:00,CTKN,10.8
6,,,,,2018-06-01-00:00,DIV002,0.0
7,,,,,2018-06-01-00:00,DIV003,0.0
8,,,,,2018-06-01-00:00,DIV004,0.0
9,,,,,2018-06-01-00:00,DIV005,0.0
10,25.33002758026123,23.52607027689616,23.449750264485676,24.210546493530273,2018-06-01-00:00,KGTP,0.0
11,,,,,2018-06-01-00:00,KOKO,0.0
12,,,,,2018-06-01-00:00,KWN001,0.0
13,,,,,2018-06-01-00:00,LMKO,0.0
14,27.172401428222656,27.172401428222656,27.17240333557129,27.172401428222656,2018-06-01-00:00,LPLE,0.0
15,,,,,2018-06-01-00:00,NAN006,0.0
16,29.52178955078125,29.521787643432617,,21.308364868164062,2018-06-01-00:00,NAN008,0.0
17,22.80479907989502,24.25044536590576,26.6642427444458,27.9625981648763,2018-06-01-00:00,NAN011,0.0
18,,,,,2018-06-01-00:00,NAN012,0.0
19,,,,,2018-06-01-00:00,NKTI,0.0
20,,,,,2018-06-01-00:00,NMPR,3.6
21,,,,,2018-06-01-00:00,NSNO,0.0
22,,,,,2018-06-01-00:00,PICI,0.0
23,,,,,2018-06-01-00:00,PIN003,0.0
24,,,,,2018-06-01-00:00,PKTI,0.0
25,,,,,2018-06-01-00:00,POCE,0.0
26,10.00040340423584,9.441780090332031,,,2018-06-01-00:00,PPRM,0.0
27,,,,,2018-06-01-00:00,PPTC,0.0
28,,,,,2018-06-01-00:00,PRGB,0.0
29,,,,,2018-06-01-00:00,PTLE,0.0
30,,,,,2018-06-01-00:00,SNKO,0.0
31,11.72428560256958,10.920085906982422,10.500822067260742,,2018-06-01-00:00,SSRG,0.0
32,,,,,2018-06-01-00:00,STWN,0.0
33,,,,,2018-06-01-00:00,SWKL,0.0
34,,,,,2018-06-01-00:00,TBR012,0.0
35,,,,,2018-06-01-00:00,TBR013,0.0
36,,,,,2018-06-01-00:00,TBW014,0.0
37,21.018022537231445,24.855865478515625,23.05717945098877,23.257893562316895,2018-06-01-00:00,TGSK,0.0
38,,,,,2018-06-01-00:00,THTN,0.0
39,,15.08522367477417,14.909896850585938,14.845075130462646,2018-06-01-00:00,TPKO,0.0
40,,,,,2018-06-01-00:00,TRON,0.0
41,,,,,2018-06-01-00:00,TSLM,0.0
42,,,,,2018-06-01-00:00,VLGE13,0.0
43,,,,,2018-06-01-00:00,WGPO,0.0
44,,,,,2018-06-01-00:00,WGTG,0.0
45,,,,,2018-06-01-00:00,WSPN,0.0
46,,,,,2018-06-01-00:00,WTBT,0.0
47,,,,,2018-06-01-00:00,WTLG,0.0
48,13.50832986831665,13.46536636352539,18.000890731811523,,2018-06-01-00:00,YOM006,0.0
49,,,,,2018-06-01-00:00,YOM008,0.0
50,,,,,2018-06-01-01:00,BRKM,0.0
51,,,,,2018-06-01-01:00,BWKG,0.0
52,22.267727851867676,22.656334400177002,23.252944469451904,23.492632389068604,2018-06-01-01:00,CMSG,0.4
53,,,,,2018-06-01-01:00,CNDN,0.0
54,,,,,2018-06-01-01:00,CTKN,0.0
55,,,,,2018-06-01-01:00,DIV002,0.0
56,19.346588134765625,20.00197410583496,20.00197410583496,,2018-06-01-01:00,DIV003,0.0
57,,,,,2018-06-01-01:00,DIV004,0.0
58,,,,,2018-06-01-01:00,DIV005,0.0
59,,,,,2018-06-01-01:00,KGTP,0.0
60,,,,,2018-06-01-01:00,KOKO,0.0
61,,,,,2018-06-01-01:00,KWN001,0.0
62,,,,,2018-06-01-01:00,KWN002,0.0
63,,,,,2018-06-01-01:00,LMKO,0.0
64,,,,,2018-06-01-01:00,LPLE,0.0
65,,,,,2018-06-01-01:00,NAN006,0.0
66,20.20158338546753,19.6102876663208,20.79773998260498,22.101812839508057,2018-06-01-01:00,NAN008,0.0
67,,,,,2018-06-01-01:00,NAN011,0.0
68,,,,,2018-06-01-01:00,NAN012,0.0
69,,,,,2018-06-01-01:00,NAN013,0.0
70,,,,,2018-06-01-01:00,NAN014,0.0
71,,,,,2018-06-01-01:00,NKTI,0.0
72,,,,,2018-06-01-01:00,NMPR,0.0
73,,,,,2018-06-01-01:00,NSNO,0.0
74,16.41308848063151,17.57385508219401,19.147480328877766,26.50539779663086,2018-06-01-01:00,PICI,0.0
75,,,,,2018-06-01-01:00,PIN003,0.0
76,,,,,2018-06-01-01:00,POCE,0.0
77,,,,,2018-06-01-01:00,PPRM,0.0
78,,,,,2018-06-01-01:00,PPTC,0.0
79,,,,,2018-06-01-01:00,PTLE,0.0
80,,,,,2018-06-01-01:00,STWN,0.0
81,,,,,2018-06-01-01:00,TBR012,0.0
82,,,,,2018-06-01-01:00,TBR013,0.0
83,21.223730087280273,21.07077916463216,19.779582023620605,21.267779032389324,2018-06-01-01:00,TBW014,0.0
84,19.441895484924316,19.73344135284424,18.219048500061035,17.45585536956787,2018-06-01-01:00,TGSK,0.0
85,,,,,2018-06-01-01:00,THTN,0.0
86,17.684648513793945,17.512569427490234,,,2018-06-01-01:00,TPKO,0.0
87,,,,,2018-06-01-01:00,TRON,0.0
88,,,,,2018-06-01-01:00,VLGE13,0.0
89,,,,,2018-06-01-01:00,WGPO,0.0
90,,,,,2018-06-01-01:00,WGTG,0.0
91,20.657960891723633,,,,2018-06-01-01:00,WSPN,0.0
92,,,,,2018-06-01-01:00,WTBT,0.0
93,,,,,2018-06-01-01:00,WTLG,0.0
94,,,,,2018-06-01-01:00,YOM006,0.0
95,,,,,2018-06-01-01:00,YOM008,0.0
96,,13.046095848083496,13.501407623291016,,2018-06-01-01:00,YOM012,0.0
97,,,,,2018-06-01-02:00,BDLH,0.0
98,,,,,2018-06-01-02:00,BRKM,0.0
99,,,,,2018-06-01-02:00,BWKG,0.0
100,28.847841262817383,28.025388717651367,26.52017593383789,24.07805633544922,2018-06-01-02:00,CMSG,0.2
101,,,,,2018-06-01-02:00,CTKN,0.0
102,,,,,2018-06-01-02:00,DIV002,0.0
103,,,,,2018-06-01-02:00,DIV003,0.0
104,,,,,2018-06-01-02:00,DIV004,0.0
105,,,,,2018-06-01-02:00,DIV005,0.0
106,,,,,2018-06-01-02:00,KGTP,0.0
107,,,,,2018-06-01-02:00,KOKO,0.0
108,,,,,2018-06-01-02:00,KWN001,0.0
109,,,,,2018-06-01-02:00,KWN002,0.0
110,,,,,2018-06-01-02:00,LPLE,0.0
111,,,,,2018-06-01-02:00,NAN006,0.0
112,21.43314552307129,20.940093994140625,20.79508399963379,20.6147518157959,2018-06-01-02:00,NAN008,0.0
113,,,,,2018-06-01-02:00,NAN011,0.0
114,23.512680053710938,,,,2018-06-01-02:00,NAN012,0.0
115,,,,,2018-06-01-02:00,NAN013,0.2
116,,,,,2018-06-01-02:00,NAN014,0.0
117,,,,,2018-06-01-02:00,NKTI,0.0
118,,,,,2018-06-01-02:00,NMPR,0.0
119,,,,,2018-06-01-02:00,NSNO,0.0
120,,,20.986913045247395,21.411810557047527,2018-06-01-02:00,PICI,0.0
121,,,,,2018-06-01-02:00,PIN003,0.0
122,,,,,2018-06-01-02:00,PKTI,0.0
123,,,,,2018-06-01-02:00,POCE,0.0
124,16.732322692871094,,,,2018-06-01-02:00,PPRM,0.0
125,,,,,2018-06-01-02:00,PRGB,0.0
126,,,,,2018-06-01-02:00,SNKO,0.0
127,,,,,2018-06-01-02:00,SSRG,0.0
128,,,,,2018-06-01-02:00,STWN,0.0
129,,,,,2018-06-01-02:00,SWKL,0.0
130,,,,,2018-06-01-02:00,TBR012,0.0
131,,,,15.50045108795166,2018-06-01-02:00,TBW014,0.0
132,,,,,2018-06-01-02:00,TGSK,0.0
133,,,,,2018-06-01-02:00,TRON,0.0
134,,,,,2018-06-01-02:00,TSLM,0.0
135,,,,,2018-06-01-02:00,VLGE13,0.0
136,,,,,2018-06-01-02:00,WGTG,0.0
137,,,,,2018-06-01-02:00,WTBT,0.0
138,,,,,2018-06-01-02:00,YOM006,0.0
139,,,,,2018-06-01-02:00,YOM008,0.0
140,,,,,2018-06-01-02:00,YOM012,0.0
